chromosome_E,start_E,end_E,gene_symbol_E,gene_symbol_P,id
chr10,88582700,88584423,BMPR1A,BMPR1A,poised_wTR1_2159
chrX,149950180,149950925,CD99L2,HMGB3,poised_wTR2_17829
chr1,197289459,197291720,CRB1,CRB1;ZBTB41,active_wTR1_278
chr3,49553184,49557308,DAG1,DAG1,active_wTR3_7161
chr2,121577523,121579241,GLI2,GLI2,active_wTR2_9003;active_wTR2_9004
chr2,121648803,121651597,GLI2,GLI2,active_wTR2_9001
chrX,13871068,13872638,GPM6B,OFD1;TRAPPC2,active_wTR2_17998
chr10,88470983,88471938,LDB3,BMPR1A,active_wTR2_4307
chr3,49573409,49574037,"NA",DAG1,poised_wTR2_17589
chr2,232479223,232480030,"NA",PDE6D;COPS7B,active_wTR2_8902
chr19,44288516,44289627,"NA",SMG9,poised_wTR2_14649
chr13,101592601,101593779,"NALCN-AS1",ZIC2,active_wTR2_4733
chr13,101161506,101162857,PCCA,ZIC2,poised_wTR1_2363
chr2,208689078,208690724,PLEKHM3,FZD5,active_wTR1_133
chr2,208837350,208838785,PLEKHM3,FZD5,poised_wTR2_8767
chr6,30644974,30647426,PPP1R18,TUBB,poised_wTR2_6975
chr6,30644974,30647426,PPP1R18,TUBB;MDC1,poised_wTR3_2982
