id,chromosome_E,start_E,end_E,width_E,Phastcons100way_score_E,gene_symbol_E,chromosome_P,start_P,end_P,width_P,Phastcons100way_score_P,gene_symbol_P
active_wTR1_1476,chr17,79490242,79491046,805,0.08484472049689441,"NA",chr17,79479829,79482421,2593,0.06185885075202465,ACTG1
active_wTR1_1642,chr14,70377412,70378539,1128,0.2745567375886525,SMOC1,chr14,70344923,70346849,1927,0.15723923196678768,SMOC1
active_wTR1_1693,chr14,77771631,77778514,6884,0.09652818128994782,POMT2,chr14,77786571,77788685,2115,0.1673286052009458,POMT2;GSTZ1
active_wTR1_1987,chr9,98248665,98250529,1865,0.12058981233243968,PTCH1,chr9,98267792,98269308,1517,0.4212261041529335,PTCH1
active_wTR1_1988,chr9,98250948,98258712,7765,0.18861558274307796,PTCH1,chr9,98266679,98274571,7893,0.4265678449258839,PTCH1
active_wTR1_1988.1,chr9,98259406,98260425,1020,0.32225490196078427,PTCH1,chr9,98266679,98274571,7893,0.4265678449258839,PTCH1
active_wTR1_3899,chr2,145188059,145190658,2600,0.755576923076923,ZEB2,chr2,145271989,145274586,2598,0.5740569668976128,ZEB2
active_wTR1_3900,chr2,145188059,145189733,1675,0.9420298507462684,ZEB2,chr2,145280279,145282210,1932,0.6586438923395437,ZEB2
active_wTR1_3902,chr2,145225289,145227175,1887,0.2622151563328034,ZEB2,chr2,145273956,145275833,1878,0.6342917997870074,ZEB2;ZEB2-AS1
active_wTR1_3906,chr2,145406416,145408357,1942,0.4440267765190528,"NA",chr2,145280252,145282841,2590,0.6227027027027018,ZEB2
active_wTR1_4286,chr3,181172322,181172900,579,0.6806563039723663,SOX2-OT,chr3,181427553,181429647,2095,0.34004773269689764,SOX2
active_wTR1_4289,chr3,181175200,181176993,1794,0.738851727982163,SOX2-OT,chr3,181427427,181430393,2967,0.5070778564206271,SOX2
active_wTR1_4292,chr3,181332540,181334433,1894,0.13204857444561777,SOX2-OT,chr3,181431531,181434576,3046,0.6008535784635588,SOX2
active_wTR1_4294,chr3,181438067,181445185,7119,0.40373647984267463,SOX2-OT,chr3,181418090,181437068,18979,0.49234416987196467,SOX2
active_wTR1_4294.1,chr3,181446099,181449971,3873,0.43749031758326873,SOX2-OT,chr3,181418090,181437068,18979,0.49234416987196467,SOX2
active_wTR1_4296,chr3,181958580,181962582,4003,0.4290032475643266,"NA",chr3,181428822,181431283,2462,0.6839967506092606,SOX2
