chromosome_E,start_E,end_E,gene_symbol_E,gene_symbol_P,id
chr21,27488270,27489711,APP,ADAMTS1,active_wTR2_6093
chr21,27301749,27303462,APP,APP,active_wTR2_6090;active_wTR2_6091
chr21,27488270,27489711,APP,APP,active_wTR2_6092
chr4,95965115,95966258,BMPR1B,BMPR1B,active_wTR2_11475
chr11,125825985,125827273,CDON,CDON,poised_wTR2_16969
chr15,37257587,37260264,MEIS2,MEIS2,active_wTR1_4027;active_wTR2_10018
chr15,37337799,37339961,MEIS2,MEIS2,active_wTR2_10019;active_wTR2_10021
chr15,37350045,37351475,MEIS2,MEIS2,poised_wTR1_4028;poised_wTR2_10022;poised_wTR2_10023
chr15,37371759,37373771,MEIS2,MEIS2,poised_wTR1_4029;poised_wTR2_10025;poised_wTR2_10026;poised_wTR3_4242
chr15,37379550,37380781,MEIS2,MEIS2,poised_wTR3_4243
chr15,37382347,37384276,MEIS2,MEIS2,poised_wTR3_4243.1
chr15,37385035,37386424,MEIS2,MEIS2,poised_wTR3_4243.2
chr1,164604732,164605457,PBX1,PBX1,active_wTR2_9200
chr1,164676365,164678060,PBX1,PBX1,active_wTR2_9199
chr1,164754403,164757498,PBX1,PBX1,active_wTR2_9198;poised_wTR3_3927
chr15,57435080,57439021,TCF12,TCF12,active_wTR2_17334;active_wTR2_17337
chr15,57528004,57530792,TCF12,TCF12;LOC145783;ZNF280D,poised_wTR1_6765
chr15,57435080,57439021,TCF12,ZNF280D;TCF12;LOC145783,active_wTR2_17339
chr2,85384381,85385734,TCF7L1,TCF7L1,poised_wTR2_13862
chr2,85408657,85409983,TCF7L1,TCF7L1,poised_wTR2_13861
chr2,85416347,85419435,TCF7L1,TCF7L1,active_wTR2_13858;active_wTR2_13859;active_wTR2_13860;active_wTR3_5703
chr2,85442027,85443960,TCF7L1,TCF7L1,active_wTR2_13856;active_wTR3_5702
chr11,12714781,12716735,TEAD1,TEAD1,active_wTR2_15486;active_wTR3_6347
chr11,12849451,12850205,TEAD1,TEAD1,active_wTR2_15487
chr11,12865414,12867915,TEAD1,TEAD1,active_wTR2_15488
chr3,11631038,11632913,VGLL4,"NA",active_wTR2_14181
chr3,11631038,11632913,VGLL4,VGLL4,active_wTR1_5640;active_wTR2_14171;active_wTR3_5809;active_wTR3_5811
chr3,11643092,11645343,VGLL4,VGLL4,active_wTR2_14173;active_wTR2_14176;active_wTR2_14182;active_wTR2_14184;active_wTR3_5813
