chromosome_E,start_E,end_E,gene_symbol_E,gene_symbol_P,id
chr8,61651568,61652811,CHD7,CHD7,active_wTR2_11571
chr8,61677039,61679738,CHD7,CHD7,poised_wTR1_4596
chr8,61703225,61706869,CHD7,CHD7,active_wTR1_4594;active_wTR2_11572;active_wTR3_4868
chr8,61760314,61761573,CHD7,CHD7,poised_wTR2_11574
chr9,14749241,14749645,FREM1,ZDHHC21,active_wTR2_11800
chr17,16189106,16191455,PIGL,CENPV,poised_wTR2_1301
chr17,16189106,16191455,PIGL,PIGL;NCOR1,poised_wTR1_986;poised_wTR2_1296;poised_wTR2_1300;poised_wTR3_555
chr17,16189106,16191455,PIGL,SNORD65;SNHG29;SNORD49B;SNORD49A,poised_wTR2_1302
chr17,16189106,16191455,PIGL,UBB,poised_wTR2_1303;poised_wTR3_558
chr14,77771631,77778514,POMT2,POMT2;GSTZ1,active_wTR1_1693;active_wTR2_3256;active_wTR3_1360
chr14,77771631,77778514,POMT2,SAMD15;TMED8,active_wTR2_3255
chr5,171845235,171846994,SH3PXD2B,SH3PXD2B,poised_wTR2_1083
chr14,70362513,70363204,SMOC1,SMOC1,poised_wTR2_3111
chr14,70377412,70378539,SMOC1,SMOC1,active_wTR1_1642
chr14,70446992,70448406,SMOC1,SMOC1,active_wTR2_3110
chr14,70454056,70455160,SMOC1,SMOC1,active_wTR3_1290
chr14,70353951,70355337,SMOC1,SRSF5;LOC100289511,active_wTR2_3108
chr11,102057000,102058965,YAP1,YAP1,poised_wTR2_16873
chr2,145188059,145190658,ZEB2,ZEB2,active_wTR1_3899;active_wTR1_3900
chr2,145262054,145264093,ZEB2,ZEB2,poised_wTR1_3903
chr2,145225289,145227175,ZEB2,ZEB2;ZEB2-AS1,active_wTR1_3902
