id,chromosome_E,start_E,end_E,width_E,Phastcons100way_score_E,gene_symbol_E,chromosome_P,start_P,end_P,width_P,Phastcons100way_score_P,gene_symbol_P
active_wTR1_133,chr2,208689078,208690724,1647,0.1904675166970249,PLEKHM3,chr2,208632458,208634981,2524,0.4485340729001589,FZD5
active_wTR1_278,chr1,197289459,197291720,2262,0.10658709106984962,CRB1,chr1,197168316,197170403,2088,0.5428639846743293,CRB1;ZBTB41
active_wTR2_17998,chrX,13871068,13872638,1571,0.09433481858688736,GPM6B,chrX,13752571,13753578,1008,0.128968253968254,OFD1;TRAPPC2
active_wTR2_4307,chr10,88470983,88471938,956,0.22029288702928873,LDB3,chr10,88515545,88516744,1200,0.24266666666666667,BMPR1A
active_wTR2_4733,chr13,101592601,101593779,1179,0.3787107718405429,"NALCN-AS1",chr13,100633437,100634662,1226,0.44208809135399657,ZIC2
active_wTR2_8902,chr2,232479223,232480030,808,0.030816831683168316,"NA",chr2,232645881,232646498,618,0.48511326860841436,PDE6D;COPS7B
active_wTR2_9001,chr2,121648803,121651597,2795,0.1436851520572451,GLI2,chr2,121495076,121496976,1901,0.292793266701736,GLI2
active_wTR2_9003,chr2,121577523,121579241,1719,0.13798720186154745,GLI2,chr2,121493355,121494341,987,0.37497467071935153,GLI2
active_wTR2_9004,chr2,121577523,121578529,1007,0.13584905660377364,GLI2,chr2,121491679,121493353,1675,0.12567164179104476,GLI2
active_wTR3_7161,chr3,49553184,49557308,4125,0.10118787878787883,DAG1,chr3,49506832,49508560,1729,0.34019664545980316,DAG1
poised_wTR1_2159,chr10,88582700,88584423,1724,0.11049883990719253,BMPR1A,chr10,88515970,88519221,3252,0.17287822878228812,BMPR1A
poised_wTR1_2363,chr13,101161506,101162857,1352,0.4382396449704142,PCCA,chr13,100633291,100636049,2759,0.5771656397245375,ZIC2
poised_wTR2_14649,chr19,44288516,44289627,1112,0.22419064748201445,"NA",chr19,44258513,44259419,907,0.12987872105843437,SMG9
poised_wTR2_17589,chr3,49573409,49574037,629,0.050397456279809225,"NA",chr3,49506627,49508122,1496,0.3512032085561497,DAG1
poised_wTR2_17829,chrX,149950180,149950925,746,0.016890080428954422,CD99L2,chrX,150151084,150152695,1612,0.19919354838709682,HMGB3
poised_wTR2_6975,chr6,30644974,30647426,2453,0.11292295148797393,PPP1R18,chr6,30688376,30689517,1142,0.13152364273204903,TUBB
poised_wTR2_8767,chr2,208837350,208838785,1436,0.19693593314763227,PLEKHM3,chr2,208633436,208634304,869,0.17215189873417708,FZD5
poised_wTR3_2982,chr6,30646626,30647334,709,0.2616361071932299,PPP1R18,chr6,30687878,30689392,1515,0.2307590759075907,TUBB;MDC1
