id,chromosome_E,start_E,end_E,width_E,Phastcons100way_score_E,gene_symbol_E,chromosome_P,start_P,end_P,width_P,Phastcons100way_score_P,gene_symbol_P
active_wTR1_1642,chr14,70377412,70378539,1128,0.2745567375886525,SMOC1,chr14,70344923,70346849,1927,0.15723923196678768,SMOC1
active_wTR1_4130,chr20,25301071,25305440,4370,0.041395881006865,ABHD12,chr20,25369936,25372175,2240,0.09308035714285716,ABHD12
active_wTR1_4594,chr8,61703489,61706831,3343,0.2332635357463358,CHD7,chr8,61589688,61592803,3116,0.3602695763799742,CHD7
active_wTR1_848,chr2,63280824,63284236,3413,0.4206270143568709,OTX1,chr2,63268706,63276964,8259,0.49527787867780626,OTX1;LOC100132215
active_wTR2_10266,chr20,25297790,25303869,6080,0.03159539473684208,ABHD12,chr20,25370375,25371104,730,0.0015068493150684932,ABHD12
active_wTR2_11571,chr8,61651568,61652811,1244,0.33054662379421224,CHD7,chr8,61592080,61593438,1359,0.5816777041942607,CHD7
active_wTR2_11572,chr8,61703225,61706869,3645,0.2169547325102882,CHD7,chr8,61591965,61594236,2272,0.6001320422535215,CHD7
active_wTR2_3108,chr14,70353951,70355337,1387,0.18947368421052632,SMOC1,chr14,70233445,70234045,601,0.36672212978369384,SRSF5;LOC100289511
active_wTR2_3110,chr14,70446992,70448406,1415,0.45710247349823335,SMOC1,chr14,70344756,70347035,2280,0.19061403508771926,SMOC1
active_wTR3_1290,chr14,70454056,70455160,1105,0.5164705882352941,SMOC1,chr14,70346310,70347382,1073,0.4125815470643056,SMOC1
active_wTR3_4868,chr8,61705034,61706028,995,0.7081407035175881,CHD7,chr8,61593428,61594285,858,0.5920745920745919,CHD7
poised_wTR1_4596,chr8,61677039,61679738,2700,0.017259259259259262,CHD7,chr8,61590871,61593351,2481,0.5106005642885929,CHD7
poised_wTR2_11574,chr8,61760314,61761573,1260,0.5357142857142858,CHD7,chr8,61593235,61594406,1172,0.5917235494880547,CHD7
poised_wTR2_16873,chr11,102057000,102058965,1966,0.36775178026449634,YAP1,chr11,101980800,101982774,1975,0.4349873417721521,YAP1
poised_wTR2_3111,chr14,70362513,70363204,692,0.026878612716763013,SMOC1,chr14,70345768,70346598,831,0.3280385078219013,SMOC1
