id,chromosome_E,start_E,end_E,width_E,Phastcons100way_score_E,gene_symbol_E,chromosome_P,start_P,end_P,width_P,Phastcons100way_score_P,gene_symbol_P
active_wTR1_1642,chr14,70377412,70378539,1128,0.2745567375886525,SMOC1,chr14,70344923,70346849,1927,0.15723923196678768,SMOC1
active_wTR1_1693,chr14,77771631,77778514,6884,0.09652818128994782,POMT2,chr14,77786571,77788685,2115,0.1673286052009458,POMT2;GSTZ1
active_wTR1_3899,chr2,145188059,145190658,2600,0.755576923076923,ZEB2,chr2,145271989,145274586,2598,0.5740569668976128,ZEB2
active_wTR1_3900,chr2,145188059,145189733,1675,0.9420298507462684,ZEB2,chr2,145280279,145282210,1932,0.6586438923395437,ZEB2
active_wTR1_3902,chr2,145225289,145227175,1887,0.2622151563328034,ZEB2,chr2,145273956,145275833,1878,0.6342917997870074,ZEB2;ZEB2-AS1
active_wTR1_4594,chr8,61703489,61706831,3343,0.2332635357463358,CHD7,chr8,61589688,61592803,3116,0.3602695763799742,CHD7
active_wTR2_11571,chr8,61651568,61652811,1244,0.33054662379421224,CHD7,chr8,61592080,61593438,1359,0.5816777041942607,CHD7
active_wTR2_11572,chr8,61703225,61706869,3645,0.2169547325102882,CHD7,chr8,61591965,61594236,2272,0.6001320422535215,CHD7
active_wTR2_11800,chr9,14749241,14749645,405,0.11456790123456789,FREM1,chr9,14693326,14694389,1064,0.07631578947368418,ZDHHC21
active_wTR2_3108,chr14,70353951,70355337,1387,0.18947368421052632,SMOC1,chr14,70233445,70234045,601,0.36672212978369384,SRSF5;LOC100289511
active_wTR2_3110,chr14,70446992,70448406,1415,0.45710247349823335,SMOC1,chr14,70344756,70347035,2280,0.19061403508771926,SMOC1
active_wTR2_3255,chr14,77771652,77773088,1437,0.18267223382045925,POMT2,chr14,77843289,77844913,1625,0.1584615384615385,SAMD15;TMED8
active_wTR2_3256,chr14,77771777,77777760,5984,0.08424131016042787,POMT2,chr14,77786235,77788299,2065,0.16624697336561756,POMT2;GSTZ1
active_wTR3_1290,chr14,70454056,70455160,1105,0.5164705882352941,SMOC1,chr14,70346310,70347382,1073,0.4125815470643056,SMOC1
active_wTR3_1360,chr14,77771949,77777760,5812,0.08399862353750863,POMT2,chr14,77786880,77788685,1806,0.14069767441860462,POMT2;GSTZ1
active_wTR3_4868,chr8,61705034,61706028,995,0.7081407035175881,CHD7,chr8,61593428,61594285,858,0.5920745920745919,CHD7
poised_wTR1_3903,chr2,145262054,145264093,2040,0.7313235294117643,ZEB2,chr2,145272174,145274504,2331,0.5506649506649499,ZEB2
poised_wTR1_4596,chr8,61677039,61679738,2700,0.017259259259259262,CHD7,chr8,61590871,61593351,2481,0.5106005642885929,CHD7
poised_wTR1_986,chr17,16189167,16191455,2289,0.13355176933158577,PIGL,chr17,16117565,16121573,4009,0.1478922424544774,PIGL;NCOR1
poised_wTR2_1083,chr5,171845235,171846994,1760,0.08079545454545452,SH3PXD2B,chr5,171878724,171882664,3941,0.13445825932504446,SH3PXD2B
poised_wTR2_11574,chr8,61760314,61761573,1260,0.5357142857142858,CHD7,chr8,61593235,61594406,1172,0.5917235494880547,CHD7
poised_wTR2_1296,chr17,16189167,16190356,1190,0.20033613445378143,PIGL,chr17,16118114,16119344,1231,0.2683184402924452,PIGL;NCOR1
poised_wTR2_1300,chr17,16189167,16190014,848,0.27205188679245274,PIGL,chr17,16120304,16121573,1270,0.1322047244094488,PIGL;NCOR1
poised_wTR2_1301,chr17,16189745,16190900,1156,0.09342560553633213,PIGL,chr17,16255704,16257886,2183,0.08886852954649564,CENPV
poised_wTR2_1302,chr17,16190082,16190924,843,0.01767497034400949,PIGL,chr17,16342043,16343308,1266,0.07598736176935228,SNORD65;SNHG29;SNORD49B;SNORD49A
poised_wTR2_1303,chr17,16189861,16191455,1595,0.07448275862068966,PIGL,chr17,16281924,16285359,3436,0.09679860302677527,UBB
poised_wTR2_16873,chr11,102057000,102058965,1966,0.36775178026449634,YAP1,chr11,101980800,101982774,1975,0.4349873417721521,YAP1
poised_wTR2_3111,chr14,70362513,70363204,692,0.026878612716763013,SMOC1,chr14,70345768,70346598,831,0.3280385078219013,SMOC1
poised_wTR3_555,chr17,16189106,16190227,1122,0.2123885918003564,PIGL,chr17,16117709,16119344,1636,0.2399144254278729,PIGL;NCOR1
poised_wTR3_558,chr17,16189861,16190907,1047,0.0565425023877746,PIGL,chr17,16284188,16285361,1174,0.1877342419080068,UBB
