id,chromosome_E,start_E,end_E,width_E,Phastcons100way_score_E,gene_symbol_E,chromosome_P,start_P,end_P,width_P,Phastcons100way_score_P,gene_symbol_P
active_wTR1_5825,chr19,45946036,45948616,2581,0.10290585044556372,ERCC1,chr19,45970274,45974886,4613,0.43930197268588794,FOSB
active_wTR1_5827,chr19,45953486,45954786,1301,0.2654880860876249,ERCC1,chr19,45970274,45972421,2148,0.36173184357541904,FOSB
active_wTR2_14613,chr19,45953486,45954717,1232,0.2661525974025975,ERCC1,chr19,45973748,45974915,1168,0.44760273972602765,FOSB
active_wTR2_14614,chr19,45946837,45948059,1223,0.13025347506132465,ERCC1,chr19,45973573,45974984,1412,0.4934844192634566,FOSB
active_wTR2_14622,chr19,45953486,45954720,1235,0.265506072874494,ERCC1,chr19,45968794,45973531,4738,0.28001266357112714,FOSB
active_wTR2_14622.1,chr19,45946036,45948616,2581,0.10290585044556372,ERCC1,chr19,45968794,45973531,4738,0.28001266357112714,FOSB
active_wTR2_9000,chr2,121651357,121651701,345,0.5043478260869565,GLI2,chr2,120125128,120125908,781,0.15390524967989758,C2orf76;DBI
active_wTR2_9001,chr2,121648803,121651597,2795,0.1436851520572451,GLI2,chr2,121495076,121496976,1901,0.292793266701736,GLI2
active_wTR2_9003,chr2,121577523,121579241,1719,0.13798720186154745,GLI2,chr2,121493355,121494341,987,0.37497467071935153,GLI2
active_wTR2_9004,chr2,121577523,121578529,1007,0.13584905660377364,GLI2,chr2,121491679,121493353,1675,0.12567164179104476,GLI2
active_wTR3_5994,chr19,45953486,45954481,996,0.29889558232931734,ERCC1,chr19,45971834,45973212,1379,0.39796954314720817,FOSB
active_wTR3_5998,chr19,45946036,45948616,2581,0.10290585044556372,ERCC1,chr19,45970274,45973495,3222,0.390378646803228,FOSB
active_wTR3_7161,chr3,49553184,49557308,4125,0.10118787878787883,DAG1,chr3,49506832,49508560,1729,0.34019664545980316,DAG1
poised_wTR1_2159,chr10,88582700,88584423,1724,0.11049883990719253,BMPR1A,chr10,88515970,88519221,3252,0.17287822878228812,BMPR1A
poised_wTR2_14599,chr19,45981956,45982250,295,0.1511864406779661,ERCC1,chr19,45995385,45996457,1073,0.1515377446411929,"NA"
poised_wTR2_14602,chr19,45981259,45982250,992,0.13991935483870968,ERCC1,chr19,45970274,45973064,2791,0.37112146184163397,FOSB
