id,chromosome_E,start_E,end_E,width_E,Phastcons100way_score_E,gene_symbol_E,chromosome_P,start_P,end_P,width_P,Phastcons100way_score_P,gene_symbol_P
active_wTR1_1642,chr14,70377412,70378539,1128,0.2745567375886525,SMOC1,chr14,70344923,70346849,1927,0.15723923196678768,SMOC1
active_wTR1_4130,chr20,25301071,25305440,4370,0.041395881006865,ABHD12,chr20,25369936,25372175,2240,0.09308035714285716,ABHD12
active_wTR1_4286,chr3,181172322,181172900,579,0.6806563039723663,SOX2-OT,chr3,181427553,181429647,2095,0.34004773269689764,SOX2
active_wTR1_4289,chr3,181175200,181176993,1794,0.738851727982163,SOX2-OT,chr3,181427427,181430393,2967,0.5070778564206271,SOX2
active_wTR1_4292,chr3,181332540,181334433,1894,0.13204857444561777,SOX2-OT,chr3,181431531,181434576,3046,0.6008535784635588,SOX2
active_wTR1_4294,chr3,181438067,181445185,7119,0.40373647984267463,SOX2-OT,chr3,181418090,181437068,18979,0.49234416987196467,SOX2
active_wTR1_4294.1,chr3,181446099,181449971,3873,0.43749031758326873,SOX2-OT,chr3,181418090,181437068,18979,0.49234416987196467,SOX2
active_wTR1_4296,chr3,181958580,181962582,4003,0.4290032475643266,"NA",chr3,181428822,181431283,2462,0.6839967506092606,SOX2
active_wTR1_4297,chr3,182011221,182012145,925,0.06918918918918919,"NA",chr3,181429323,181430937,1615,0.8806191950464394,SOX2
active_wTR1_4593,chr8,61565083,61567188,2106,0.06481481481481481,"NA",chr8,61589359,61594461,5103,0.4195375269449341,CHD7
active_wTR1_4594,chr8,61703489,61706831,3343,0.2332635357463358,CHD7,chr8,61589688,61592803,3116,0.3602695763799742,CHD7
active_wTR1_4595,chr8,62007054,62008260,1207,0.1251864125932063,"NA",chr8,61590399,61592490,2092,0.41878585086042064,CHD7
active_wTR1_4595.1,chr8,62008425,62009973,1549,0.13789541639767594,"NA",chr8,61590399,61592490,2092,0.41878585086042064,CHD7
active_wTR1_848,chr2,63280824,63284236,3413,0.4206270143568709,OTX1,chr2,63268706,63276964,8259,0.49527787867780626,OTX1;LOC100132215
active_wTR1_849,chr2,63269806,63272110,2305,0.5373969631236442,EHBP1;LOC100132215,chr2,63278432,63280620,2189,0.1578346276838739,OTX1
active_wTR2_10266,chr20,25297790,25303869,6080,0.03159539473684208,ABHD12,chr20,25370375,25371104,730,0.0015068493150684932,ABHD12
active_wTR2_10682,chr3,180927591,180928670,1080,0.1873148148148147,SOX2-OT,chr3,181431162,181433312,2151,0.7906090190609023,SOX2
active_wTR2_10685,chr3,180927931,180928760,830,0.15686746987951802,SOX2-OT,chr3,181429957,181430666,710,0.9425352112676059,SOX2
active_wTR2_10692,chr3,181135248,181136034,787,0.7523506988564165,SOX2-OT,chr3,181430150,181431722,1573,0.9008900190718375,SOX2
active_wTR2_10695,chr3,181159210,181161263,2054,0.25175267770204474,SOX2-OT,chr3,181430185,181432453,2269,0.8695019832525342,SOX2
active_wTR2_10702,chr3,181171663,181172900,1238,0.7363489499192244,SOX2-OT,chr3,181427969,181440344,12376,0.5214043309631549,SOX2
active_wTR2_10702.1,chr3,181175200,181178437,3238,0.4753860407659048,SOX2-OT,chr3,181427969,181440344,12376,0.5214043309631549,SOX2
active_wTR2_10704,chr3,181172219,181172900,682,0.6919354838709677,SOX2-OT,chr3,181416231,181427622,11392,0.4508251404494367,SOX2
active_wTR2_10704.1,chr3,181175200,181178437,3238,0.4753860407659048,SOX2-OT,chr3,181416231,181427622,11392,0.4508251404494367,SOX2
active_wTR2_10707,chr3,181215353,181217001,1649,0.2001212856276532,SOX2-OT,chr3,181431417,181432369,953,0.9117523609653725,SOX2
active_wTR2_10725,chr3,181961743,181963625,1883,0.20477960701009035,"NA",chr3,181428859,181431123,2265,0.7232229580573949,SOX2
active_wTR2_10726,chr3,182017284,182019478,2195,0.20214123006833704,"NA",chr3,181429284,181430811,1528,0.8560863874345546,SOX2
active_wTR2_10728,chr3,182009835,182011912,2078,0.32449470644850814,"NA",chr3,181430394,181431094,701,0.9788873038516405,SOX2
active_wTR2_10729,chr3,182333836,182337894,4059,0.12929292929292932,"NA",chr3,181428211,181434361,6151,0.6441554218826206,SOX2
active_wTR2_10730,chr3,181955009,181956063,1055,0.2639810426540285,"NA",chr3,181430757,181431826,1070,0.8585981308411214,SOX2
active_wTR2_10731,chr3,181974472,181976670,2199,0.30381991814461123,"NA",chr3,181430843,181432026,1184,0.8704391891891892,SOX2
active_wTR2_10732,chr3,181956998,181957464,467,0.11349036402569594,"NA",chr3,181429681,181433312,3632,0.8514317180616744,SOX2
active_wTR2_10732.1,chr3,181957507,181961306,3800,0.4290526315789472,"NA",chr3,181429681,181433312,3632,0.8514317180616744,SOX2
active_wTR2_10733,chr3,182223809,182228557,4749,0.2533796588755525,"NA",chr3,181429656,181434182,4527,0.7636403799425671,SOX2
active_wTR2_10734,chr3,182009473,182011306,1834,0.4214285714285714,"NA",chr3,181431786,181433019,1234,0.7931928687196109,SOX2
active_wTR2_11563,chr8,61316732,61318279,1548,0.3594961240310079,"NA",chr8,61593235,61594560,1326,0.528054298642534,CHD7
active_wTR2_11565,chr8,61325257,61328278,3022,0.16915949702183988,"NA",chr8,61592396,61593815,1420,0.6207746478873241,CHD7
active_wTR2_11567,chr8,61532328,61533343,1016,0.6411417322834646,RAB2A,chr8,61592640,61593838,1199,0.6423686405337784,CHD7
active_wTR2_11568,chr8,61565083,61566483,1401,0.03576017130620985,"NA",chr8,61593101,61594406,1306,0.6052833078101073,CHD7
active_wTR2_11569,chr8,61855317,61857028,1712,0.20081775700934584,"NA",chr8,61591992,61593244,1253,0.5466879489225861,CHD7
active_wTR2_11570,chr8,61934793,61935585,793,0.412484237074401,"NA",chr8,61592080,61593244,1165,0.5271244635193134,CHD7
active_wTR2_11571,chr8,61651568,61652811,1244,0.33054662379421224,CHD7,chr8,61592080,61593438,1359,0.5816777041942607,CHD7
active_wTR2_11572,chr8,61703225,61706869,3645,0.2169547325102882,CHD7,chr8,61591965,61594236,2272,0.6001320422535215,CHD7
active_wTR2_11573,chr8,61822277,61824930,2654,0.19287867370007536,"NA",chr8,61593003,61594406,1404,0.6293447293447296,CHD7
active_wTR2_11575,chr8,61934793,61936135,1343,0.4212956068503351,"NA",chr8,61593648,61594644,997,0.4667001003009027,CHD7
active_wTR2_3110,chr14,70446992,70448406,1415,0.45710247349823335,SMOC1,chr14,70344756,70347035,2280,0.19061403508771926,SMOC1
active_wTR2_9989,chr11,31892311,31893390,1080,0.07018518518518521,RCN1;PAX6-AS1,chr11,31830904,31832071,1168,0.35000000000000003,PAX6
active_wTR2_9990,chr11,31579239,31580312,1074,0.2304469273743015,ELP4,chr11,31831082,31832558,1477,0.4423832092078537,PAX6
active_wTR2_9992,chr11,31789648,31790742,1095,0.48666666666666664,ELP4,chr11,31830976,31832288,1313,0.37806549885757806,PAX6
active_wTR2_9995,chr11,31788993,31790258,1266,0.295339652448657,ELP4,chr11,31830005,31830908,904,0.22887168141592923,PAX6
active_wTR3_1290,chr14,70454056,70455160,1105,0.5164705882352941,SMOC1,chr14,70346310,70347382,1073,0.4125815470643056,SMOC1
active_wTR3_4229,chr11,31892621,31893660,1040,0.13557692307692307,PAX6-AS1;RCN1,chr11,31830344,31831704,1361,0.3525349008082293,PAX6
active_wTR3_4230,chr11,31579162,31580412,1251,0.20135891286970406,ELP4,chr11,31830252,31831582,1331,0.3660405709992488,PAX6
active_wTR3_4459,chr3,180927653,180928760,1108,0.15171480144404326,SOX2-OT,chr3,181429679,181430666,988,0.9536437246963563,SOX2
active_wTR3_4461,chr3,180927931,180929202,1272,0.14858490566037738,SOX2-OT,chr3,181431417,181432643,1227,0.8537082314588426,SOX2
active_wTR3_4470,chr3,181171666,181172900,1235,0.7381376518218622,SOX2-OT,chr3,181428211,181435372,7162,0.6187377827422507,SOX2
active_wTR3_4470.1,chr3,181175200,181178437,3238,0.4753860407659048,SOX2-OT,chr3,181428211,181435372,7162,0.6187377827422507,SOX2
active_wTR3_4485,chr3,181332540,181333382,843,0.056583629893238445,SOX2-OT,chr3,181431501,181432646,1146,0.843455497382199,SOX2
active_wTR3_4487,chr3,181332700,181334261,1562,0.05563380281690141,SOX2-OT,chr3,181430394,181431292,899,0.8400444938820911,SOX2
active_wTR3_4489,chr3,181421924,181424070,2147,0.28691197019096426,SOX2-OT,chr3,181431003,181433312,2310,0.7882683982683986,SOX2
active_wTR3_4490,chr3,181437041,181445185,8145,0.35984039287906705,SOX2-OT,chr3,181417067,181436843,19777,0.5111695403751836,SOX2
active_wTR3_4490.1,chr3,181446099,181453788,7690,0.30412223667100047,SOX2-OT,chr3,181417067,181436843,19777,0.5111695403751836,SOX2
active_wTR3_4491,chr3,182335579,182336428,850,0.1370588235294118,"NA",chr3,181431162,181432646,1485,0.8098316498316502,SOX2
active_wTR3_4492,chr3,181974472,181976670,2199,0.30381991814461123,"NA",chr3,181431003,181433730,2728,0.6929618768328448,SOX2
active_wTR3_4493,chr3,181959771,181961295,1525,0.49481967213114786,"NA",chr3,181431834,181433019,1186,0.7849915682967956,SOX2
active_wTR3_4868,chr8,61705034,61706028,995,0.7081407035175881,CHD7,chr8,61593428,61594285,858,0.5920745920745919,CHD7
poised_wTR1_2107,chr3,25489877,25490573,697,0.008034433285509325,RARB,chr3,25469682,25472302,2621,0.6973292636398316,RARB
poised_wTR1_2184,chr14,57261132,57262403,1272,0.12366352201257863,"NA",chr14,57275469,57278388,2920,0.21835616438356154,OTX2;OTX2-AS1
poised_wTR1_4596,chr8,61677039,61679738,2700,0.017259259259259262,CHD7,chr8,61590871,61593351,2481,0.5106005642885929,CHD7
poised_wTR1_850,chr2,63195832,63196883,1052,0.6340304182509503,EHBP1,chr2,63278602,63280514,1913,0.14861474124411922,OTX1
poised_wTR2_10265,chr20,25251624,25252443,820,0.12182926829268291,PYGB,chr20,25370398,25371687,1290,0.14449612403100776,ABHD12
poised_wTR2_1044,chr2,63263179,63265049,1871,0.24895777659005877,EHBP1,chr2,63276750,63280429,3680,0.2867391304347826,OTX1;LOC100132215
poised_wTR2_1044.1,chr2,63261101,63261757,657,0.4366818873668189,EHBP1,chr2,63276750,63280429,3680,0.2867391304347826,OTX1;LOC100132215
poised_wTR2_10727,chr3,182208016,182208602,587,0.08909710391822827,"NA",chr3,181430128,181431306,1179,0.87421543681085645,SOX2
poised_wTR2_11574,chr8,61760314,61761573,1260,0.5357142857142858,CHD7,chr8,61593235,61594406,1172,0.5917235494880547,CHD7
poised_wTR2_16873,chr11,102057000,102058965,1966,0.36775178026449634,YAP1,chr11,101980800,101982774,1975,0.4349873417721521,YAP1
poised_wTR2_3111,chr14,70362513,70363204,692,0.026878612716763013,SMOC1,chr14,70345768,70346598,831,0.3280385078219013,SMOC1
poised_wTR2_9988,chr11,31902435,31903706,1272,0.014779874213836473,RCN1;PAX6-AS1,chr11,31829899,31830882,984,0.2063008130081301,PAX6
poised_wTR2_9993,chr11,31259426,31261376,1951,0.2831368528959511,DCDC1,chr11,31830157,31832138,1982,0.3088294651866803,PAX6
