chromosome_E,start_E,end_E,gene_symbol_E,gene_symbol_P,id
chr20,25297790,25305440,ABHD12,ABHD12,active_wTR1_4130;active_wTR2_10266
chr8,61651568,61652811,CHD7,CHD7,active_wTR2_11571
chr8,61677039,61679738,CHD7,CHD7,poised_wTR1_4596
chr8,61703225,61706869,CHD7,CHD7,active_wTR1_4594;active_wTR2_11572;active_wTR3_4868
chr8,61760314,61761573,CHD7,CHD7,poised_wTR2_11574
chr11,31259426,31261376,DCDC1,PAX6,poised_wTR2_9993
chr2,63195832,63196883,EHBP1,OTX1,poised_wTR1_850
chr2,63261101,63261757,EHBP1,OTX1;LOC100132215,poised_wTR2_1044.1
chr2,63263179,63265049,EHBP1,OTX1;LOC100132215,poised_wTR2_1044
chr2,63269806,63272110,EHBP1;LOC100132215,OTX1,active_wTR1_849
chr11,31579162,31580412,ELP4,PAX6,active_wTR2_9990;active_wTR3_4230
chr11,31788993,31790742,ELP4,PAX6,active_wTR2_9992;active_wTR2_9995
chr8,61316732,61318279,"NA",CHD7,active_wTR2_11563
chr8,61325257,61328278,"NA",CHD7,active_wTR2_11565
chr8,61565083,61567188,"NA",CHD7,active_wTR1_4593;active_wTR2_11568
chr8,61822277,61824930,"NA",CHD7,active_wTR2_11573
chr8,61855317,61857028,"NA",CHD7,active_wTR2_11569
chr8,61934793,61936135,"NA",CHD7,active_wTR2_11570;active_wTR2_11575
chr8,62007054,62008260,"NA",CHD7,active_wTR1_4595
chr8,62008425,62009973,"NA",CHD7,active_wTR1_4595.1
chr14,57261132,57262403,"NA",OTX2;OTX2-AS1,poised_wTR1_2184
chr3,181955009,181956063,"NA",SOX2,active_wTR2_10730
chr3,181956998,181957464,"NA",SOX2,active_wTR2_10732
chr3,181957507,181963625,"NA",SOX2,active_wTR1_4296;active_wTR2_10725;active_wTR2_10732.1;active_wTR3_4493
chr3,181974472,181976670,"NA",SOX2,active_wTR2_10731;active_wTR3_4492
chr3,182009473,182012145,"NA",SOX2,active_wTR1_4297;active_wTR2_10728;active_wTR2_10734
chr3,182017284,182019478,"NA",SOX2,active_wTR2_10726
chr3,182208016,182208602,"NA",SOX2,poised_wTR2_10727
chr3,182223809,182228557,"NA",SOX2,active_wTR2_10733
chr3,182333836,182337894,"NA",SOX2,active_wTR2_10729;active_wTR3_4491
chr2,63280824,63284236,OTX1,OTX1;LOC100132215,active_wTR1_848
chr11,31892311,31893660,PAX6-AS1;RCN1,PAX6,active_wTR3_4229
chr20,25251624,25252443,PYGB,ABHD12,poised_wTR2_10265
chr8,61532328,61533343,RAB2A,CHD7,active_wTR2_11567
chr3,25489877,25490573,RARB,RARB,poised_wTR1_2107
chr11,31892311,31893660,RCN1;PAX6-AS1,PAX6,active_wTR2_9989
chr11,31902435,31903706,RCN1;PAX6-AS1,PAX6,poised_wTR2_9988
chr14,70362513,70363204,SMOC1,SMOC1,poised_wTR2_3111
chr14,70377412,70378539,SMOC1,SMOC1,active_wTR1_1642
chr14,70446992,70448406,SMOC1,SMOC1,active_wTR2_3110
chr14,70454056,70455160,SMOC1,SMOC1,active_wTR3_1290
chr3,180927591,180929202,SOX2-OT,SOX2,active_wTR2_10682;active_wTR2_10685;active_wTR3_4459;active_wTR3_4461
chr3,181135248,181136034,SOX2-OT,SOX2,active_wTR2_10692
chr3,181159210,181161263,SOX2-OT,SOX2,active_wTR2_10695
chr3,181171663,181172900,SOX2-OT,SOX2,active_wTR1_4286;active_wTR2_10702;active_wTR2_10704;active_wTR3_4470
chr3,181175200,181178437,SOX2-OT,SOX2,active_wTR1_4289;active_wTR2_10702.1;active_wTR2_10704.1;active_wTR3_4470.1
chr3,181215353,181217001,SOX2-OT,SOX2,active_wTR2_10707
chr3,181332540,181334433,SOX2-OT,SOX2,active_wTR1_4292;active_wTR3_4485;active_wTR3_4487
chr3,181421924,181424070,SOX2-OT,SOX2,active_wTR3_4489
chr3,181437041,181445185,SOX2-OT,SOX2,active_wTR1_4294;active_wTR3_4490
chr3,181446099,181453788,SOX2-OT,SOX2,active_wTR1_4294.1;active_wTR3_4490.1
chr11,102057000,102058965,YAP1,YAP1,poised_wTR2_16873
