chromosome_E,start_E,end_E,gene_symbol_E,gene_symbol_P,id
chr20,25297790,25305440,ABHD12,ABHD12,active_wTR1_4130;active_wTR2_10266
chr8,61651568,61652811,CHD7,CHD7,active_wTR2_11571
chr8,61677039,61679738,CHD7,CHD7,poised_wTR1_4596
chr8,61703225,61706869,CHD7,CHD7,active_wTR1_4594;active_wTR2_11572;active_wTR3_4868
chr8,61760314,61761573,CHD7,CHD7,poised_wTR2_11574
chr2,63280824,63284236,OTX1,OTX1;LOC100132215,active_wTR1_848
chr14,70362513,70363204,SMOC1,SMOC1,poised_wTR2_3111
chr14,70377412,70378539,SMOC1,SMOC1,active_wTR1_1642
chr14,70446992,70448406,SMOC1,SMOC1,active_wTR2_3110
chr14,70454056,70455160,SMOC1,SMOC1,active_wTR3_1290
chr14,70353951,70355337,SMOC1,SRSF5;LOC100289511,active_wTR2_3108
chr11,102057000,102058965,YAP1,YAP1,poised_wTR2_16873
